rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2410.20542v2,PaPaGei: Open Foundation Models for Optical Physiological Signals,2024,arXiv,http://arxiv.org/abs/2410.20542v2,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
2,doi:10.3390/drones9080575,A Hierarchical Decoupling Task Planning Method for Multi-UAV Collaborative Multi-Region Coverage with Task Priority Awareness,2025,Drones,https://doi.org/10.3390/drones9080575,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1109/icra57147.2024.10611477,Open X-Embodiment: Robotic Learning Datasets and RT-X Models : Open X-Embodiment Collaboration 0,2024,,https://doi.org/10.1109/icra57147.2024.10611477,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.48550/arxiv.2310.08864,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,arXiv (Cornell University),https://doi.org/10.48550/arxiv.2310.08864,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1162/imag_a_00057,Denoising task-correlated head motion from motor-task fMRI data with multi-echo ICA,2024,Imaging Neuroscience,https://doi.org/10.1162/imag_a_00057,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1093/jamiaopen/ooaf122,ECG-FM: an open electrocardiogram foundation model,2025,JAMIA Open,https://doi.org/10.1093/jamiaopen/ooaf122,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1007/s00371-025-04351-4,GenYOLO-leaf: a data-centric and open source framework for generalizable leaf instance segmentation across diverse datasets,2026,The Visual Computer,https://doi.org/10.1007/s00371-025-04351-4,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
8,doi:10.2139/ssrn.6304924,Flood Depth Mapping with SWOT-Derived Training Data: Evaluating the Potential of Open-Source Datasets,,,https://doi.org/10.2139/ssrn.6304924,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
9,doi:10.36001/ijphm.2024.v15i2.3993,Machine Learning Approaches for Diagnostics and Prognostics of Industrial Systems Using Open Source Data from PHM Data Challenges,2024,International Journal of Prognostics and Health Management,https://doi.org/10.36001/ijphm.2024.v15i2.3993,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
10,arxiv:2512.01946v3,Scaling Cross-Environment Failure Reasoning Data for Vision-Language Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2512.01946v3,Addresses open robot datasets or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Open robot data coverage gaps keeps action-critical alternatives explicit until a physical observation collapses them.
