ablation,dataset,regime,split,seed,episodes,success,success_probability,mechanism_recall,coverage_false_negative,tail_failure,redundancy_rate,selection_cost,data_efficiency_proxy
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,0,84,0.6429,0.6035,0.643,0.0222,0.0496,0.1263,0.2174,0.678
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,1,84,0.631,0.6176,0.624,0.0137,0.0468,0.1298,0.2174,0.6831
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,2,84,0.631,0.6262,0.6708,0.0064,0.0459,0.1151,0.2174,0.6827
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,3,84,0.5833,0.6197,0.6502,0.0094,0.0517,0.1222,0.2174,0.6695
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,4,84,0.6429,0.6164,0.6502,0.0225,0.0451,0.1288,0.2174,0.6739
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,5,84,0.5952,0.6091,0.6604,0.0162,0.0529,0.128,0.2174,0.6783
full_mechanism_coverage_audit,single_arm_tabletop,nominal_coverage,combined_stress,6,84,0.5,0.607,0.6482,0.0077,0.0518,0.1285,0.2174,0.6703
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,0,84,0.6667,0.608,0.6544,0.0268,0.0614,0.1335,0.2174,0.6772
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,1,84,0.619,0.5999,0.6569,0.0315,0.0821,0.1256,0.2174,0.6739
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,2,84,0.5952,0.592,0.6432,0.039,0.0873,0.1284,0.2174,0.6773
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,3,84,0.5476,0.5871,0.6426,0.0301,0.0696,0.1285,0.2174,0.6897
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,4,84,0.6429,0.6036,0.6625,0.0302,0.0693,0.1303,0.2174,0.6714
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,5,84,0.5952,0.6035,0.6402,0.0288,0.0706,0.1216,0.2174,0.6646
full_mechanism_coverage_audit,single_arm_tabletop,contact_transition_gap,combined_stress,6,84,0.631,0.5998,0.6565,0.035,0.0783,0.1291,0.2174,0.6925
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,0,84,0.5714,0.6034,0.6358,0.032,0.0713,0.1284,0.2174,0.6933
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,1,84,0.6071,0.6101,0.6396,0.0364,0.0728,0.1314,0.2174,0.6674
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,2,84,0.6429,0.6116,0.6474,0.0338,0.0799,0.1182,0.2174,0.6748
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,3,84,0.4881,0.6058,0.6432,0.0357,0.0821,0.1317,0.2174,0.6711
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,4,84,0.5833,0.5823,0.6582,0.0292,0.0723,0.1338,0.2174,0.6943
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,5,84,0.6548,0.6005,0.6561,0.043,0.0817,0.1287,0.2174,0.67
full_mechanism_coverage_audit,single_arm_tabletop,force_tactile_gap,combined_stress,6,84,0.5357,0.5939,0.6475,0.032,0.0707,0.1318,0.2174,0.6911
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,0,84,0.6071,0.6029,0.6526,0.027,0.08,0.1261,0.2174,0.6789
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,1,84,0.6905,0.5934,0.6483,0.0281,0.0751,0.1293,0.2174,0.6745
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,2,84,0.6548,0.6016,0.6539,0.0307,0.0856,0.1361,0.2174,0.6804
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,3,84,0.5357,0.6078,0.645,0.0387,0.0763,0.1302,0.2174,0.6786
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,4,84,0.619,0.6008,0.6367,0.0339,0.0771,0.1272,0.2174,0.68
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,5,84,0.5119,0.5849,0.6676,0.0284,0.0833,0.1248,0.2174,0.6814
full_mechanism_coverage_audit,single_arm_tabletop,recovery_gap,combined_stress,6,84,0.6905,0.6043,0.6583,0.0423,0.0801,0.1328,0.2174,0.6885
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,0,84,0.6548,0.5939,0.6591,0.0301,0.0843,0.1356,0.2174,0.6743
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,1,84,0.5238,0.5858,0.6576,0.0396,0.0707,0.1271,0.2174,0.6934
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,2,84,0.5357,0.5958,0.6402,0.0309,0.082,0.131,0.2174,0.6847
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,3,84,0.631,0.5965,0.6587,0.0265,0.0791,0.1185,0.2174,0.6903
full_mechanism_coverage_audit,single_arm_tabletop,deformable_gap,combined_stress,4,84,0.5952,0.6006,0.6416,0.0285,0.0792,0.1326,0.2174,0.6759
